Name,Peak CCU,Price,Profit,Positive_Negative_dif,DLC,Achievements,days_since_release,Windows,Mac,Linux,clusters
Galactic Bowling,0,19.99,0.0,-5,0,30,5702,1,0,0,0
Train Bandit,0,0.99,0.0,48,0,12,2424,1,1,0,1
Jolt Project,0,4.99,0.0,0,0,0,927,1,0,0,0
Henosis™,0,5.99,0.0,3,0,0,1409,1,1,1,1
Two Weeks in Painland,0,0.0,0.0,42,0,17,1580,1,1,0,1
Wartune Reborn,68,0.0,0.0,38,0,0,1191,1,0,0,0
TD Worlds,3,10.99,32.97,14,1,62,874,1,0,0,0
Legend of Rome - The Wrath of Mars,2,9.99,19.98,0,0,0,758,1,0,0,0
MazM: Jekyll and Hyde,1,14.99,14.99,70,0,25,1521,1,0,0,0
Deadlings: Rotten Edition,0,3.99,0.0,180,0,32,3490,1,1,1,1
WARSAW,5,23.99,119.94999999999999,377,0,34,1704,1,0,0,0
Cthulhu Realms,0,0.0,0.0,89,1,0,2892,1,1,0,1
Clockwork Dungeon,0,1.99,0.0,5,0,25,1009,1,0,0,0
Royal Battleships,0,2.99,0.0,25,0,19,2248,1,1,1,1
Diary of Lucie,3,12.99,38.97,95,0,0,1284,1,0,0,0
Alien Breed 3: Descent,3,9.99,29.97,215,0,13,4945,1,0,0,0
Hunting Unlimited 3,0,9.99,0.0,17,0,0,1303,1,0,0,0
Hero of the Kingdom II,5,7.99,39.95,1926,0,48,3389,1,1,1,1
Super Naughty Maid 2,4,9.59,38.36,0,2,0,1808,1,0,0,0
KHIO,0,9.99,0.0,2,0,0,1408,1,0,0,0
Steam Squad,0,17.99,0.0,32,1,32,2865,1,1,1,1
Project: R.E.B.O.O.T 2,10,2.99,29.900000000000002,1,0,0,2682,1,0,0,0
Aerofly FS 2 Flight Simulator,19,37.49,712.3100000000001,1082,23,0,2385,1,1,1,1
Kanjozoku Game レーサー,319,5.99,1910.8100000000002,335,0,0,686,1,0,0,0
PowersVR,0,9.99,0.0,15,0,4,1330,1,0,0,0
Draw Your Game,0,4.99,0.0,-32,0,43,2487,1,0,0,0
